ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-4.05,3.65,10.2004,-2.14,3.45,8.93,-1.33,0.19,1.22,-1.1558,-0.9875,-0.6924,44.0,27.88,-60.44,-27.69,207.88,-24.32,11.75,2.0,972.0,33.126,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,8,2016-02-09 14:36:51:495
-0.1964,1.4418,7.6329,-0.15,0.86,9.77,-0.12,1.23,-2.93,3.7646,-1.6767,0.8149,815.0,23.5,-43.19,-36.37,206.43,4.62,10.61,2.0,972.0,33.855,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,502,2016-02-09 14:36:51:989
0.3018,3.2261,7.5228,1.79,3.36,9.04,-1.89,0.5,-1.71,0.8586,0.686,0.9065,60.0,5.56,-58.19,-28.12,193.51,-14.89,-12.36,2.0,971.99,34.089,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,1003,2016-02-09 14:36:52:490
14.7054,15.0743,-12.2505,7.72,5.16,3.16,2.82,-1.63,2.94,0.2535,-2.7122,3.738,45.0,-20.81,-46.87,8.06,166.54,-44.48,-26.13,2.0,971.99,33.281,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,1503,2016-02-09 14:36:52:990
6.6749,8.6843,-1.3987,5.17,7.22,-4.16,3.4,4.16,2.51,0.3941,0.1055,1.5649,8.0,-3.25,-49.81,23.75,150.69,-35.41,-109.75,0.0,972.0,33.754,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,2002,2016-02-09 14:36:53:489
9.7645,9.0723,-6.0714,5.03,8.07,-2.42,4.12,-2.68,-1.4,-0.2205,1.0269,0.4623,6.0,1.88,-56.75,23.75,134.42,-59.17,-114.58,0.0,972.0,33.522,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,2502,2016-02-09 14:36:53:989
6.1241,8.3706,-8.2916,6.73,6.06,-3.76,3.55,-2.2,0.49,-0.2993,1.6533,-1.1004,4.0,-7.25,-45.44,27.31,139.6,-32.1,-123.96,0.0,971.99,32.264,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,3002,2016-02-09 14:36:54:489
6.5863,4.1242,-4.244,8.07,5.18,-2.06,0.28,-0.11,1.01,-0.7361,-0.5103,-0.4613,0.0,-12.75,-33.69,22.63,135.22,-31.88,-104.32,0.0,971.97,32.534,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,3503,2016-02-09 14:36:54:990
8.2987,2.0477,-3.0704,7.3,4.76,-4.49,1.08,-2.65,2.13,-0.0969,0.8139,0.0181,0.0,-17.12,-28.19,16.69,156.99,-29.05,-121.59,0.0,971.99,35.159,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,4003,2016-02-09 14:36:55:490
4.893,2.3519,-1.4801,7.43,5.08,-3.88,0.35,0.47,2.28,-0.2088,0.6466,0.3984,0.0,-21.12,-31.87,6.06,195.13,-31.22,-117.57,0.0,972.0,35.204,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,4503,2016-02-09 14:36:55:990
5.099,3.6596,-5.4559,7.47,2.51,-5.84,-2.43,1.03,0.75,-0.2663,0.4953,-0.2908,0.0,-20.06,-26.75,20.25,142.37,-24.78,-113.43,0.0,972.0,33.897,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,5003,2016-02-09 14:36:56:490
8.9741,6.8977,-1.7196,7.12,5.59,-3.78,1.96,1.62,2.66,-1.7268,0.7819,-0.2407,0.0,-22.62,-41.37,17.88,180.17,-26.9,-128.18,0.0,971.96,34.505,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,5503,2016-02-09 14:36:56:990
10.1477,6.5121,2.2968,6.86,6.71,-2.03,5.76,-0.46,0.69,0.3185,-0.9683,-0.2866,0.0,-24.06,-51.25,8.06,163.5,-42.28,-94.03,0.0,971.99,36.82,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,6003,2016-02-09 14:36:57:490
12.6218,7.9371,-4.6487,7.16,5.73,-3.47,1.5,-0.2,-6.49,1.29,-1.1974,0.032,4.0,-24.81,-37.75,19.44,192.52,-32.29,-127.6,0.0,971.97,37.314,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,6503,2016-02-09 14:36:57:990
7.3048,11.6446,-1.5017,8.12,5.48,0.3,0.08,4.46,0.11,0.4772,0.5262,-0.0064,0.0,-29.94,-35.87,8.06,158.61,-37.14,-93.81,0.0,971.96,37.574,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,7003,2016-02-09 14:36:58:490
4.802,3.753,-2.6776,7.82,3.85,-4.5,-3.63,-1.81,2.94,0.2376,1.9739,-0.8522,0.0,-29.19,-25.31,26.13,134.89,-23.11,-119.92,0.0,971.96,33.143,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,7503,2016-02-09 14:36:58:990
8.1215,4.3015,-1.7172,8.39,4.85,-1.53,-4.28,-0.22,1.75,-1.1675,-0.3835,0.49,0.0,-29.94,-37.0,12.75,155.72,-29.63,-100.33,0.0,971.96,35.593,54.980026,-1.60947,,165.5809651466962,,,239.51613,,0 / 21,8003,2016-02-09 14:36:59:490
5.6379,1.631,-5.5325,7.44,3.71,-5.21,-2.6,-2.15,3.55,-0.7212,2.154,-0.3771,0.0,-19.31,-33.69,27.69,136.49,-24.53,-116.08,0.0,971.95,34.38,54.980026,-1.60947,,165.5809651466962,,,239.51613,,6 / 21,8503,2016-02-09 14:36:59:990
5.8031,5.7361,-1.1568,8.24,5.31,-0.35,-1.04,0.16,0.59,-1.5446,0.685,-0.2727,1.0,-24.81,-41.0,6.88,163.49,-28.38,-111.78,0.0,971.95,32.258,54.980026,-1.60947,,165.5809651466962,,,239.51613,,6 / 21,9003,2016-02-09 14:37:00:490
4.0691,1.4849,0.9604,9.13,3.49,-0.8,-5.37,-1.59,0.59,1.2496,-1.8386,0.2631,0.0,-25.19,-36.25,1.38,185.11,-21.86,-92.65,0.0,971.97,31.47,54.980026,-1.60947,,165.5809651466962,,,239.51613,,6 / 21,9502,2016-02-09 14:37:00:989
8.6077,4.1386,-4.4619,8.15,4.5,-3.09,3.17,0.81,0.58,-0.7989,1.4775,0.8607,0.0,-24.81,-35.19,8.06,184.15,-27.31,-110.76,0.0,972.0,33.0,54.980026,-1.60947,,165.5809651466962,,,239.51613,,8 / 21,10002,2016-02-09 14:37:01:489
7.1563,3.1518,-2.8692,8.52,4.62,-1.52,4.71,-2.51,0.54,0.5337,-0.995,0.2589,0.0,-21.12,-38.44,19.81,144.13,-28.09,-100.12,0.0,972.0,31.89,54.98007,-1.609534,300.0,165.5809651466962,,0.0,64.51613,,7 / 21,10503,2016-02-09 14:37:01:990
9.2951,5.5277,-1.3771,8.37,4.92,-1.36,4.43,-0.46,-1.67,-0.8021,2.4288,-0.1076,0.0,-19.69,-40.62,19.44,158.06,-27.38,-110.79,0.0,972.01,32.035,54.98007,-1.609534,300.0,165.5809651466962,,0.0,64.51613,,7 / 21,11003,2016-02-09 14:37:02:490
12.8421,3.7746,0.9365,8.57,4.74,-0.52,5.56,-2.57,-1.58,-0.0842,-1.4296,-0.1406,0.0,-23.69,-38.81,9.25,150.57,-25.3,-72.61,0.0,972.08,34.121,54.98013,-1.609614,306.45,165.5809651466962,,4.94,51.612904,62.3,11 / 21,11503,2016-02-09 14:37:02:990
10.8806,3.056,-0.1078,7.99,5.48,-1.51,0.89,2.16,-7.78,-1.5116,0.4368,0.2812,0.0,-21.12,-42.5,17.06,155.88,-30.18,-102.4,0.0,972.06,36.464,54.98013,-1.609614,306.45,165.5809651466962,,4.94,51.612904,62.3,11 / 21,12003,2016-02-09 14:37:03:490
14.4156,10.3345,0.697,8.09,5.45,1.02,-0.75,2.66,-2.38,0.5326,-2.2861,-0.0607,0.0,-19.69,-48.31,12.75,152.66,-33.76,-82.81,0.0,972.05,31.145,54.980137,-1.609597,319.35,165.5809651466962,,5.23,35.48387,72.6,11 / 21,12503,2016-02-09 14:37:03:990
12.1212,8.282,-5.0655,8.04,5.54,-0.96,-0.2,5.9,-3.73,-0.6424,2.2243,-0.3728,0.0,-16.37,-49.81,19.88,156.21,-31.89,-109.07,0.0,972.05,56.564,54.980137,-1.609597,319.35,165.5809651466962,,5.23,35.48387,72.6,11 / 21,13002,2016-02-09 14:37:04:489
8.7035,10.21,-5.0727,8.9,3.49,2.18,-1.02,3.66,-0.35,-1.3092,0.017,0.4218,0.0,-23.0,-43.56,10.44,156.72,-24.39,-80.98,0.0,972.06,62.028,54.980103,-1.609487,312.9,165.5809651466962,,2.54,25.806452,109.2,12 / 21,13503,2016-02-09 14:37:04:990
4.2919,2.6752,0.2203,8.86,3.9,-1.58,-4.55,0.22,-0.61,0.6136,-0.4304,-0.3558,0.0,-15.31,-50.87,26.94,147.22,-23.51,-94.53,0.0,972.12,51.419,54.980103,-1.609487,312.9,165.5809651466962,,2.54,25.806452,109.2,12 / 21,14003,2016-02-09 14:37:05:490
4.1386,4.1721,1.4083,8.45,4.95,0.48,-4.7,-0.27,-0.19,-1.208,0.6051,0.4645,0.0,-18.25,-60.37,7.25,174.77,-32.17,-100.13,0.0,972.09,58.37,54.980087,-1.609455,316.13,165.5809651466962,,3.72,25.806452,156.0,13 / 21,14503,2016-02-09 14:37:05:990
3.2836,-0.6131,-5.5301,6.69,3.62,-6.19,-4.83,-1.2,3.25,0.8394,0.8831,-0.5518,0.0,-4.31,-55.31,35.19,143.5,-26.74,-113.64,0.0,972.12,60.601,54.980087,-1.609455,316.13,165.5809651466962,,3.72,25.806452,156.0,13 / 21,15002,2016-02-09 14:37:06:489
5.8486,3.9302,0.2347,8.43,4.86,-1.21,-3.56,0.69,0.09,-1.943,0.8703,0.3579,0.0,-14.94,-62.25,9.25,166.23,-30.79,-111.08,0.0,972.09,52.721,54.980072,-1.609455,316.13,165.5809651466962,,4.14,29.032257,186.8,14 / 21,15503,2016-02-09 14:37:06:990
2.6728,-0.9891,-3.6308,8.0,4.62,-3.28,0.05,0.07,1.68,0.9651,-1.029,0.2067,0.0,-5.81,-54.94,32.44,157.14,-29.3,-91.61,0.0,972.12,59.762,54.980072,-1.609455,316.13,165.5809651466962,,4.14,29.032257,186.8,14 / 21,16003,2016-02-09 14:37:07:490
4.9697,2.7639,-0.0695,7.73,5.39,-2.71,1.0,3.53,5.14,-0.7808,1.5883,0.261,0.0,-10.94,-62.25,17.13,162.61,-23.12,-133.79,0.0,972.1,59.34,54.980072,-1.609455,316.13,165.5809651466962,,4.14,29.032257,186.8,14 / 21,16503,2016-02-09 14:37:07:990
10.95,2.9962,-0.4982,7.96,5.02,-2.76,1.29,0.04,2.92,0.6434,-1.5936,-0.0437,0.0,-12.0,-61.12,17.13,169.07,-30.25,-90.07,0.0,972.13,56.186,54.980072,-1.609455,316.13,165.5809651466962,,4.14,29.032257,186.8,14 / 21,17002,2016-02-09 14:37:08:489
11.5871,7.7934,4.4356,7.28,5.25,-3.96,2.26,-2.27,0.93,-1.5425,2.4703,0.2162,0.0,-10.94,-65.87,16.69,156.85,-30.51,-120.91,0.0,972.16,43.441,54.980076,-1.609482,312.9,165.5809651466962,,3.02,12.903226,261.5,13 / 21,17502,2016-02-09 14:37:08:989
13.2205,2.6896,-0.2036,8.48,4.92,-0.14,1.29,0.28,1.23,1.028,-1.7332,0.0053,0.0,-13.81,-64.06,15.5,168.7,-29.71,-87.44,0.0,972.09,35.44,54.980076,-1.609482,312.9,165.5809651466962,,3.02,12.903226,261.5,13 / 21,18003,2016-02-09 14:37:09:490
3.6716,5.5493,-10.586,7.89,4.92,-3.1,8.07,0.02,6.38,-0.9694,-0.3856,0.0415,0.0,-7.25,-64.81,25.38,164.93,-25.88,-122.12,0.0,972.14,44.061,54.98008,-1.609512,316.13,165.5809651466962,,2.52,9.677419,213.8,13 / 22,18502,2016-02-09 14:37:09:989
11.4266,6.7587,-3.2955,8.71,4.51,0.26,-2.16,3.67,-1.04,0.3153,-0.4527,0.0554,4.0,-14.19,-61.87,13.94,166.68,-28.77,-96.55,0.0,972.1,47.132,54.98008,-1.609512,316.13,165.5809651466962,,2.52,9.677419,213.8,13 / 22,19002,2016-02-09 14:37:10:489
8.179,4.7278,-7.015,8.44,4.63,-1.87,4.65,2.51,0.85,-1.4573,2.1039,0.0554,0.0,-8.69,-59.31,26.56,155.65,-25.43,-116.28,0.0,972.12,45.318,54.980072,-1.609534,316.13,165.5809651466962,,3.39,9.677419,202.6,14 / 22,19502,2016-02-09 14:37:10:989
7.1108,5.1517,0.3377,8.61,4.56,1.12,-1.39,3.33,-0.66,-1.2048,1.4988,0.2802,0.0,-16.37,-63.69,6.5,167.73,-31.75,-96.75,0.0,972.13,43.864,54.980072,-1.609534,316.13,165.5809651466962,,3.39,9.677419,202.6,14 / 22,20003,2016-02-09 14:37:11:490
4.2775,2.6872,-5.281,8.54,4.72,-0.96,2.8,-0.78,2.67,0.6626,-1.812,0.0533,0.0,-12.0,-67.0,17.13,161.1,-28.7,-81.51,0.0,972.14,46.443,54.980057,-1.609535,316.13,165.5809651466962,,4.64,12.903226,183.5,14 / 22,20503,2016-02-09 14:37:11:990
5.2786,3.2093,-0.9508,8.3,4.95,-1.67,-2.78,0.58,0.12,0.3409,0.4581,0.1566,0.0,-13.12,-64.44,13.56,163.25,-31.47,-110.21,0.0,972.14,38.78,54.980057,-1.609535,316.13,165.5809651466962,,4.64,12.903226,183.5,14 / 22,21003,2016-02-09 14:37:12:490
7.997,2.9411,0.6682,8.33,4.25,-2.95,-1.61,0.85,3.76,0.9492,-1.5819,0.1864,0.0,-9.81,-61.87,26.13,161.37,-28.85,-86.46,0.0,972.13,40.037,54.980045,-1.609541,322.58,165.5809651466962,,5.55,12.903226,194.5,14 / 22,21503,2016-02-09 14:37:12:990
10.5932,5.6522,3.5734,8.05,4.5,-3.34,4.44,-0.72,1.76,0.228,1.8983,0.1289,0.0,-10.94,-65.87,18.25,155.71,-26.35,-112.21,0.0,972.13,46.256,54.980045,-1.609541,322.58,165.5809651466962,,5.55,12.903226,194.5,14 / 22,22003,2016-02-09 14:37:13:490
11.144,4.2152,2.7351,8.56,4.71,0.88,2.22,2.01,2.42,0.4932,-1.387,-0.2067,0.0,-15.31,-65.5,9.25,168.08,-26.93,-82.31,0.0,972.12,52.308,54.980034,-1.609546,319.35,165.5809651466962,,3.93,12.903226,199.5,14 / 22,22502,2016-02-09 14:37:13:989
11.8386,0.6706,3.1782,8.2,4.55,-2.86,-1.49,3.0,-10.22,-2.1327,0.1417,0.2226,0.0,-7.25,-65.87,26.56,155.66,-27.65,-109.23,0.0,972.16,53.913,54.980034,-1.609546,319.35,165.5809651466962,,3.93,12.903226,199.5,14 / 22,23003,2016-02-09 14:37:14:490
10.1956,8.1742,-2.1507,8.69,3.77,2.55,0.82,4.4,-2.9,0.4037,-1.1281,-0.2056,0.0,-15.31,-65.5,3.75,172.83,-23.95,-79.13,0.0,972.06,51.666,54.980034,-1.609546,319.35,165.5809651466962,,3.93,12.903226,199.5,14 / 22,23503,2016-02-09 14:37:14:990
13.1582,8.0473,-3.2764,8.42,3.52,-3.59,-4.31,-0.97,-2.02,-1.3763,1.3721,-0.5902,0.0,-8.69,-68.06,26.56,153.97,-21.66,-108.95,0.0,972.12,57.902,54.980034,-1.609546,319.35,165.5809651466962,,3.93,12.903226,199.5,14 / 22,24002,2016-02-09 14:37:15:489
6.7013,5.3169,0.0407,8.93,3.91,1.08,-3.3,0.69,0.66,-0.5475,1.24,0.3217,0.0,-15.69,-69.94,0.19,173.95,-26.06,-93.32,0.0,972.06,54.281,54.980034,-1.609559,316.13,165.5809651466962,,2.63,9.677419,251.2,14 / 22,24503,2016-02-09 14:37:15:990
2.989,-0.4335,-3.5542,8.32,3.22,-4.07,-3.88,-1.04,2.92,0.4155,1.5979,-0.8682,0.0,-8.37,-65.5,30.88,161.61,-21.09,-77.63,0.0,972.06,58.722,54.980034,-1.609559,316.13,165.72869710230134,,2.63,9.677419,251.2,14 / 22,25003,2016-02-09 14:37:16:490
4.7805,2.704,-0.0838,8.93,4.0,0.65,-5.13,0.61,-2.07,-0.5827,1.2155,0.0916,0.0,-10.94,-69.56,13.56,170.06,-20.23,-105.12,0.0,972.06,59.439,54.980034,-1.60957,312.9,165.72869710230134,,3.24,9.677419,270.4,14 / 22,25503,2016-02-09 14:37:16:990
11.0243,0.8191,-2.6034,9.06,3.75,-0.1,0.49,0.33,2.25,1.2815,-1.4924,0.3856,0.0,-6.87,-63.31,28.5,152.44,-22.48,-90.63,0.0,972.03,63.153,54.980034,-1.60957,312.9,165.72869710230134,,3.24,9.677419,270.4,14 / 22,26003,2016-02-09 14:37:17:490
7.8389,4.2392,-0.3305,7.99,3.93,-4.12,1.9,0.34,2.04,-2.0741,0.6061,0.2589,0.0,-8.69,-67.75,13.94,171.63,-23.61,-117.28,0.0,971.96,47.056,54.980026,-1.609584,312.9,165.72869710230134,,3.37,12.903226,238.2,14 / 22,26502,2016-02-09 14:37:17:989
10.083,3.0225,1.5639,8.95,4.0,-0.03,-1.81,2.65,-0.14,2.3287,-0.4282,-0.0447,0.0,-12.0,-67.37,2.94,176.99,-24.08,-90.19,0.0,971.93,52.868,54.980026,-1.609584,312.9,165.72869710230134,,3.37,12.903226,238.2,14 / 22,27002,2016-02-09 14:37:18:489
11.6278,1.1975,0.2323,7.33,3.14,-5.71,-1.9,0.89,-7.76,-1.4402,0.2312,-0.441,0.0,-5.44,-62.62,26.56,161.06,-18.67,-127.92,0.0,972.0,53.456,54.980022,-1.609598,312.9,165.72869710230134,,3.38,12.903226,233.8,14 / 22,27503,2016-02-09 14:37:18:990
7.6497,5.8031,-3.1902,8.79,4.33,-0.31,-1.68,1.79,-2.14,-0.5358,-0.1119,-0.2258,0.0,-12.0,-65.19,0.94,180.39,-28.04,-96.44,0.0,972.01,46.153,54.980022,-1.609598,312.9,165.72869710230134,,3.38,12.903226,233.8,14 / 22,28003,2016-02-09 14:37:19:490
4.1913,1.825,-7.5754,7.43,3.22,-5.53,-4.35,-2.51,-0.6,0.93,0.7137,-0.522,0.0,-6.12,-61.87,26.94,160.8,-20.05,-127.54,0.0,972.08,49.944,54.980015,-1.609614,316.13,165.72869710230134,,4.05,12.903226,237.9,14 / 22,28503,2016-02-09 14:37:19:990
7.7958,3.856,-1.358,8.53,4.68,-1.22,-3.73,-1.68,-0.71,-1.0749,1.55,0.2173,0.0,-16.37,-64.81,-4.56,183.59,-25.16,-119.34,0.0,972.05,51.442,54.980015,-1.609614,316.13,165.72869710230134,,4.05,12.903226,237.9,14 / 22,29003,2016-02-09 14:37:20:490
2.9626,2.5459,-2.7543,7.43,3.37,-5.44,-5.38,0.78,0.89,1.4072,-1.3689,-0.1768,0.0,-6.87,-60.37,28.5,161.68,-26.22,-104.83,0.0,972.08,46.844,54.980015,-1.609629,312.9,165.72869710230134,,3.97,16.129032,256.4,14 / 22,29503,2016-02-09 14:37:20:990
5.2882,2.0621,-0.7928,8.36,4.82,-1.73,-3.15,-2.35,0.29,-0.8895,1.4115,-0.5603,0.0,-12.37,-69.19,11.56,170.94,-21.59,-130.55,0.0,972.1,51.955,54.980015,-1.609629,312.9,165.72869710230134,,3.97,16.129032,256.4,14 / 22,30002,2016-02-09 14:37:21:489
2.807,3.0584,0.2706,7.16,4.36,-5.08,-4.89,-0.31,3.04,0.4985,-0.1971,-0.4453,0.0,-8.0,-64.06,27.31,163.48,-28.72,-85.53,0.0,972.08,58.173,54.980003,-1.609646,312.9,165.72869710230134,,6.21,16.129032,228.5,14 / 22,30503,2016-02-09 14:37:21:990
4.3805,2.3639,-0.8119,8.07,4.26,-3.59,5.16,2.59,5.31,-1.6927,1.2155,0.0415,0.0,-12.75,-65.5,15.5,165.02,-27.8,-122.76,0.0,972.1,52.353,54.980003,-1.609646,312.9,165.72869710230134,,6.21,16.129032,228.5,14 / 22,31002,2016-02-09 14:37:22:489
11.4123,2.0693,-3.4919,8.48,4.41,-2.2,3.91,-2.52,0.57,1.5148,-2.9774,0.2067,0.0,-13.5,-67.0,18.25,174.83,-27.45,-86.11,0.0,972.09,58.065,54.97998,-1.609662,312.9,165.72869710230134,,9.79,19.35484,205.3,14 / 22,31503,2016-02-09 14:37:22:990
6.1528,4.929,-0.7784,8.19,3.55,-4.06,5.42,2.37,4.7,-0.9289,2.2094,0.2684,0.0,-13.5,-67.37,16.31,171.26,-21.22,-116.37,0.0,972.16,54.745,54.97998,-1.609662,312.9,165.72869710230134,,9.79,19.35484,205.3,14 / 22,32003,2016-02-09 14:37:23:490
14.2743,1.3652,-0.2132,8.69,4.53,0.27,6.42,3.85,3.16,0.7734,-2.921,0.1917,0.0,-13.81,-66.62,6.88,176.32,-26.72,-88.82,0.0,972.09,50.105,54.97997,-1.609673,309.68,165.72869710230134,,4.1,16.129032,198.9,14 / 22,32503,2016-02-09 14:37:23:990
13.4073,7.5347,2.1411,7.65,4.11,-4.57,5.32,0.35,8.04,-0.7947,2.5982,0.2919,0.0,-10.19,-67.0,23.0,161.32,-26.39,-111.92,0.0,972.16,46.55,54.97997,-1.609673,309.68,165.72869710230134,,4.1,16.129032,198.9,14 / 22,33003,2016-02-09 14:37:24:490
12.7631,0.8766,-0.2227,8.74,4.43,0.42,5.16,0.4,0.03,1.6991,-1.8727,0.4985,0.0,-14.56,-67.0,7.63,180.27,-26.53,-104.05,0.0,972.12,47.696,54.979958,-1.60968,309.68,165.72869710230134,,5.33,16.129032,207.9,14 / 22,33503,2016-02-09 14:37:24:990
11.429,0.8622,-0.6059,7.37,2.79,-5.83,0.98,-2.19,0.23,-1.9292,-2.8123,1.2027,0.0,-6.12,-57.5,34.0,157.92,-14.77,-132.22,0.0,972.12,47.942,54.979958,-1.60968,309.68,165.72869710230134,,5.33,16.129032,207.9,14 / 22,34003,2016-02-09 14:37:25:490
12.4134,6.069,5.0463,8.61,4.69,-0.37,2.87,3.98,2.68,0.571,-0.9939,-0.4474,0.0,-13.12,-68.81,1.75,178.29,-30.24,-91.83,0.0,972.1,47.818,54.979946,-1.60969,309.68,165.72869710230134,,4.23,12.903226,208.5,14 / 22,34503,2016-02-09 14:37:25:990
20.8582,13.8839,-5.3601,6.46,2.99,-6.75,-4.05,-1.01,-3.82,-1.3721,0.0916,0.0533,0.0,-6.87,-62.94,28.5,162.93,-18.8,-134.43,0.0,972.14,48.13,54.979946,-1.60969,309.68,165.72869710230134,,4.23,12.903226,208.5,14 / 22,35003,2016-02-09 14:37:26:490
10.2076,8.3754,-1.2119,8.54,4.78,-0.65,-2.09,-0.78,1.46,-1.0855,0.049,0.5582,0.0,-14.56,-66.62,0.94,180.16,-29.17,-94.35,0.0,972.13,44.994,54.979935,-1.609702,309.68,165.72869710230134,,5.0,12.903226,218.6,14 / 22,35503,2016-02-09 14:37:26:990
5.0942,0.2132,-7.8365,6.41,2.17,-7.1,-2.58,-5.68,1.41,0.4229,1.5606,-0.8501,0.0,-5.81,-56.75,34.0,156.44,-17.69,-134.7,0.0,972.12,50.861,54.979935,-1.609702,309.68,165.72869710230134,,5.0,12.903226,218.6,14 / 22,36003,2016-02-09 14:37:27:490
3.9135,2.8692,-2.122,8.03,4.17,-3.78,-1.4,-0.51,0.28,-1.8472,0.947,0.1949,0.0,-14.56,-66.62,14.75,172.16,-25.17,-115.21,0.0,972.14,49.335,54.979923,-1.609716,306.45,165.72869710230134,,5.63,12.903226,218.4,14 / 22,36503,2016-02-09 14:37:27:990
3.2069,0.4551,-0.3664,6.41,3.17,-6.71,-2.36,-3.58,5.06,0.327,0.0959,-0.2067,0.0,-6.5,-61.12,34.0,149.56,-24.9,-117.8,0.0,972.12,49.567,54.979923,-1.609716,306.45,165.72869710230134,,5.63,12.903226,218.4,14 / 22,37003,2016-02-09 14:37:28:490
5.2858,2.5938,-1.5879,8.57,4.15,-2.33,-2.27,-2.49,0.0,-1.73,0.9001,0.1459,0.0,-15.31,-65.5,13.56,165.16,-16.16,-120.57,0.0,972.14,50.385,54.97991,-1.609728,306.45,165.72869710230134,,5.26,12.903226,218.4,14 / 22,37502,2016-02-09 14:37:28:989
3.2476,1.1017,-1.9783,8.67,3.85,-2.49,5.52,-3.09,4.61,0.7063,-1.1217,0.1683,0.0,-8.0,-58.19,33.63,160.2,-24.52,-88.97,0.0,972.12,58.382,54.97991,-1.609728,306.45,165.72869710230134,,5.26,12.903226,218.4,14 / 22,38002,2016-02-09 14:37:29:489
6.5791,4.6224,-2.3088,7.8,3.57,-4.74,2.9,-0.4,2.65,-0.5262,1.2783,-0.4772,0.0,-13.12,-62.94,23.75,158.25,-16.65,-129.69,0.0,972.18,52.966,54.979897,-1.609737,303.23,165.72869710230134,,5.47,12.903226,200.1,14 / 22,38503,2016-02-09 14:37:29:990
11.7404,2.8812,-3.3363,8.55,4.55,-1.57,5.58,-4.83,2.15,1.9217,-1.7449,0.0778,0.0,-15.69,-65.19,15.94,173.21,-28.16,-89.74,0.0,972.16,55.622,54.979897,-1.609737,303.23,165.72869710230134,,5.47,12.903226,200.1,14 / 22,39002,2016-02-09 14:37:30:489
10.3537,1.8418,-2.031,7.89,3.45,-4.7,3.68,-6.76,2.57,-1.1175,2.2797,0.2535,0.0,-8.37,-63.31,31.25,153.59,-22.94,-114.41,0.0,972.17,48.376,54.979885,-1.609744,303.23,165.72869710230134,,4.65,12.903226,200.1,14 / 22,39503,2016-02-09 14:37:30:990
10.7704,3.0441,3.2405,8.9,3.97,1.11,6.03,2.37,1.56,0.6658,-1.2826,-0.49,0.0,-14.56,-67.37,3.31,175.01,-23.88,-82.89,0.0,972.16,52.197,54.979885,-1.609744,303.23,165.72869710230134,,4.65,12.903226,200.1,14 / 22,40003,2016-02-09 14:37:31:490
18.6907,-0.5988,0.1629,8.41,3.75,-3.37,1.7,-2.2,-2.51,2.4096,-1.061,-0.1353,0.0,-10.94,-64.81,25.75,165.26,-17.76,-126.55,0.0,972.22,56.69,54.97987,-1.609754,303.23,165.72869710230134,,5.46,12.903226,213.7,14 / 22,40503,2016-02-09 14:37:31:990
13.3307,8.7562,2.6752,8.98,3.79,1.06,-1.64,-0.09,-1.14,-0.4677,0.4645,-0.3121,0.0,-14.56,-68.06,-2.19,180.23,-22.74,-83.27,0.0,972.21,49.443,54.97987,-1.609754,303.23,165.72869710230134,,5.46,12.903226,213.7,14 / 22,41003,2016-02-09 14:37:32:490
4.6224,3.1734,-16.2119,8.36,3.84,-3.39,-2.64,-2.56,-4.52,2.7281,-3.1809,-0.8288,0.0,-12.75,-66.62,17.88,172.53,-18.37,-124.49,0.0,972.21,52.578,54.979855,-1.609768,303.23,165.72869710230134,,4.92,12.903226,214.1,14 / 22,41502,2016-02-09 14:37:32:989
