ACCELEROMETER X (m/sì),ACCELEROMETER Y (m/sì),ACCELEROMETER Z (m/sì),GRAVITY X (m/sì),GRAVITY Y (m/sì),GRAVITY Z (m/sì),LINEAR ACCELERATION X (m/sì),LINEAR ACCELERATION Y (m/sì),LINEAR ACCELERATION Z (m/sì),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (?T),MAGNETIC FIELD Y (?T),MAGNETIC FIELD Z (?T),ORIENTATION Z (azimuth ›),ORIENTATION X (pitch ›),ORIENTATION Y (roll ›),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (›),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.437,3.5853,5.2379,-1.29,5.44,8.06,0.89,-1.25,-1.96,0.3846,-0.3846,-0.0522,258,-21.44,-60.81,-54.25,127.36,-33.48,11.71,2,1014.29,47.357,54.97691,-1.61501,338.71,NaN,,4.79,54.83871,214.8,13 / 22,26,2016-02-03 15:28:42:707
0.0479,4.9625,7.7599,-1.72,6.14,7.45,0.92,0.39,-1.49,-2.0357,-1.698,0.2876,212,-23.25,-66.62,-53.87,123.11,-38.77,13,2,1014.28,46.112,54.97691,-1.61501,338.71,NaN,,4.79,54.83871,214.8,13 / 22,525,2016-02-03 15:28:43:206
-1.1424,4.5697,6.7947,-0.1,5.44,8.16,-0.68,-1.35,4.28,0.2493,1.3891,0.2216,291,-25.81,-69.56,-54.25,137.74,-34.71,-2.28,2,1014.26,36.565,54.976913,-1.615084,335.48,NaN,,4.52,51.612904,218.7,13 / 22,1026,2016-02-03 15:28:43:707
-3.8344,1.9903,10.653,-1.61,3.58,8.99,-2.54,0.67,5.06,0.7968,0.1097,0.8011,328,-33.87,-67,-60.94,127.19,-27.64,12.29,2,1014.25,38.315,54.976913,-1.615084,335.48,NaN,,4.52,51.612904,218.7,13 / 22,1524,2016-02-03 15:28:44:205
-0.8957,6.1887,8.4353,-2.53,5.12,7.97,1.07,0.51,2.88,0.0032,-1.2421,-0.2365,404,-37.12,-65.19,-56.19,126.78,-27.32,13.75,2,1014.25,40.482,54.976913,-1.615139,358.06,NaN,,4.09,64.51613,209.3,13 / 22,2025,2016-02-03 15:28:44:706
1.6262,6.8522,4.7733,-1.48,7.32,6.35,1.22,-0.49,1.4,2.0368,-1.2719,-0.5486,216,-32,-70.31,-43.69,125.59,-41.14,15.96,2,1014.28,38.042,54.976913,-1.615139,358.06,NaN,,4.09,64.51613,209.3,13 / 22,2525,2016-02-03 15:28:45:206
-4.8523,9.8292,2.1723,-3.01,9.02,2.38,-2.87,-0.37,0.72,1.714,-3.2214,0.0703,215,-14.44,-67.37,-31.5,135.4,-50.21,33.77,2,1014.25,43.196,54.97691,-1.615187,322.58,NaN,,3.31,12.903226,215.6,13 / 22,3025,2016-02-03 15:28:45:706
-3.4369,12.9595,5.1277,2.45,9.09,2.74,0.77,-5.08,-1.71,-0.3526,1.3614,-2.4096,538,-24.69,-71.06,-51.56,327.1,-67.98,-41.8,2,1014.26,47.919,54.97691,-1.615187,322.58,NaN,,3.31,12.903226,215.6,13 / 22,3525,2016-02-03 15:28:46:206
-3.8177,6.457,-0.2419,-0.01,9.67,1.65,-3.12,-2.38,-1.32,-0.2471,-0.4186,0.7169,149,-25.81,-76.87,-32.31,134.74,-63.18,59.72,2,1014.3,50.582,54.976917,-1.615211,306.45,NaN,,4.17,9.677419,222.1,13 / 22,4025,2016-02-03 15:28:46:706
-8.9214,8.3419,0.0216,-2.91,9.2,-1.76,-4.26,-2.44,2.54,0.2067,1.0855,-0.1225,90,-14.81,-69.19,-26.81,41.25,-80.86,5.89,2,1014.29,43.494,54.976917,-1.615211,306.45,NaN,,4.17,9.677419,222.1,13 / 22,4525,2016-02-03 15:28:47:206
2.007,10.1908,2.3016,1.44,9.61,-1.32,-0.55,0.44,8.74,0.8916,0.2919,-0.2738,0,-30.19,-73.62,-25.62,170.51,-84.77,121.73,0,1014.33,49.503,54.976913,-1.615225,309.68,NaN,,3.79,9.677419,216.6,13 / 22,5025,2016-02-03 15:28:47:706
-0.4742,8.1694,0.0982,0.53,9.78,-0.53,4.25,3.9,1.65,1.208,2.9604,0.5209,8,-3.5,6.25,13.75,105.94,-82.53,-58.8,0,1014.34,51.03,54.976913,-1.615225,309.68,NaN,,3.79,9.677419,216.6,13 / 22,5525,2016-02-03 15:28:48:206
-0.7017,10.1764,-6.6342,1.4,8.73,-4.23,-0.09,4.82,5.47,-1.4882,0.2716,0.0831,0,-4.62,5.88,25.13,8.66,-67.12,-160.24,0,1014.34,46.099,54.976894,-1.615224,316.13,NaN,,5.04,9.677419,212.5,13 / 22,6025,2016-02-03 15:28:48:706
0.9269,11.6302,-2.3184,1.19,9.72,-0.49,5.16,5.24,0.71,1.1761,1.2794,0.1726,0,-4.25,-1.81,13.31,85,-78.88,-79.64,0,1014.33,47.132,54.976894,-1.615224,316.13,NaN,,5.04,9.677419,212.5,13 / 22,6525,2016-02-03 15:28:49:206
2.1172,11.8266,3.5614,1.26,8.58,-4.59,-1.69,4.46,5.04,-1.2986,-0.0288,0.0469,0,-6.06,6.63,26.25,5.99,-65.31,-160.9,0,1014.37,45.982,54.97687,-1.615224,312.9,NaN,,5.41,9.677419,204,13 / 22,7025,2016-02-03 15:28:49:706
1.3676,13.6995,5.7001,2.1,9.58,0.03,-6.17,6.44,-0.19,0.9438,-0.6924,0.0373,0,-8.62,1.88,4.69,29.27,-77.63,-89.18,0,1014.34,44.104,54.97687,-1.615224,312.9,NaN,,5.41,9.677419,204,13 / 22,7524,2016-02-03 15:28:50:205
6.0187,11.4626,-1.3197,1.86,8.28,-4.92,2.83,5.18,4.56,-1.3177,-1.0472,-0.1779,0,-3.87,10.25,26.25,13.63,-59.84,-156.82,0,1014.39,51.218,54.97685,-1.615235,312.9,NaN,,5.58,9.677419,210.4,13 / 22,8024,2016-02-03 15:28:50:705
-4.1506,16.9352,-2.6106,2.83,9.38,-0.29,-3.83,7.16,0.34,-0.7297,-0.5326,0.2834,29,-6.06,2.56,5.44,17.34,-72.2,-130.81,0,1014.37,48.468,54.97685,-1.615235,312.9,NaN,,5.58,9.677419,210.4,13 / 22,8525,2016-02-03 15:28:51:206
-3.8847,5.8558,8.2508,-1.67,8.35,4.86,-5.61,-3.52,-2,-1.1931,0.6402,3.526,95,3.81,8.81,-12.56,1.55,-58.39,18.96,2,1014.33,45.571,54.976833,-1.61525,312.9,NaN,,6.09,9.677419,210.5,13 / 22,9025,2016-02-03 15:28:51:706
-2.201,4.5889,6.948,-3.28,6.49,6.58,-0.77,-0.3,-1.34,-1.8418,-1.7556,-0.0746,117,5.25,11.38,-21.56,27.03,-47.3,42.44,0,1014.31,44.021,54.976833,-1.61525,312.9,NaN,,6.09,9.677419,210.5,13 / 22,9524,2016-02-03 15:28:52:205
-0.879,4.8763,6.5695,-1.91,5.85,7.63,1.33,-2.96,-3.48,0.6093,-0.1704,0.0437,536,0.5,9.56,-25.06,12.7,-36.64,14.05,2,1014.29,45.649,54.976833,-1.61525,312.9,NaN,,6.09,9.677419,210.5,13 / 22,10024,2016-02-03 15:28:52:705
-0.7472,4.6918,5.1708,-1.81,6.2,7.38,-1.29,-1.16,-2.75,0.1886,-0.5529,0.2546,541,0.88,8.81,-23.12,6.07,-31.55,7.7,2,1014.29,44.514,54.97683,-1.615238,312.9,NaN,,3.21,9.677419,209.8,13 / 22,10524,2016-02-03 15:28:53:205
-0.6251,4.2679,3.7434,-0.8,6.18,7.57,-0.87,-2.18,-0.45,-0.1545,0.066,-0.3846,519,1.25,9.88,-24.69,3.97,-39.07,6.03,2,1014.3,41.49,54.976826,-1.615255,309.68,NaN,,3.06,9.677419,210.1,13 / 22,11024,2016-02-03 15:28:53:705
-0.9221,5.3529,8.0425,-1.35,6.13,7.54,-1.45,-0.82,0,0.2887,0.4708,0.3377,507,1.63,7.69,-22.75,3.22,-40.2,7.9,2,1014.31,41.061,54.976826,-1.615255,309.68,NaN,,3.06,9.677419,210.1,13 / 22,11525,2016-02-03 15:28:54:206
0.752,2.031,8.6197,-1.26,5.96,7.68,-2.04,0.64,-0.67,-0.6253,0.7915,0.4708,458,1.25,10.63,-25.44,7.32,-37.45,9.32,2,1014.29,41.456,54.976807,-1.615268,316.13,NaN,,5.5,12.903226,210.6,13 / 22,12025,2016-02-03 15:28:54:706
-1.2502,5.1469,5.1301,-1.39,5.49,8.01,-2.78,-1.03,1.7,-0.0799,-0.1907,0.5198,544,1.56,12.06,-26.62,7.59,-36.54,12.61,2,1014.26,42.871,54.976807,-1.615268,316.13,NaN,,5.5,12.903226,210.6,13 / 22,12525,2016-02-03 15:28:55:206
-2.6178,5.9109,13.9606,-1.03,6.65,7.13,-0.89,1.21,2.29,-0.5007,0.4687,-0.8213,497,3.06,5.88,-19.56,359.65,-42.71,8.22,2,1014.26,46.396,54.97679,-1.615287,322.58,NaN,,5.38,12.903226,207.5,13 / 22,13024,2016-02-03 15:28:55:705
-6.536,5.408,16.1352,-2.08,4.99,8.18,-1.99,0.68,4.45,-0.7691,-0.0096,-0.7393,537,5.63,16.88,-28.19,0.22,-35.68,16.48,2,1014.25,43.521,54.97679,-1.615287,322.58,NaN,,5.38,12.903226,207.5,13 / 22,13524,2016-02-03 15:28:56:205
-0.7975,5.7576,11.6063,-1.19,5.23,8.21,-2.54,1.48,2.02,0.1342,-0.18,0.245,540,3.06,11,-29,10.39,-29.64,20.75,2,1014.29,43.228,54.976776,-1.615302,316.13,NaN,,4.93,12.903226,210,Nov-20,14025,2016-02-03 15:28:56:706
-1.7771,10.2746,7.3791,0.4,7.97,5.7,-0.64,2.69,-5.92,-2.0048,0.5934,1.2314,562,0.13,-1.06,-16.12,354.76,-26.13,-2.02,2,1014.29,40.136,54.976776,-1.615302,316.13,NaN,,4.93,12.903226,210,Nov-20,14525,2016-02-03 15:28:57:206
5.2307,9.3933,3.3674,3.55,8.1,4.23,0.65,-1.37,-2.03,0.0724,1.3891,-2.5396,125,-16.69,-4.37,-3.19,42.12,-62,-45.79,2,1014.29,39.555,54.976765,-1.615323,322.58,NaN,,5.27,12.903226,219.6,Oct-21,15025,2016-02-03 15:28:57:706
-4.9218,7.4844,-1.5927,-3.26,9.22,0.67,0.53,-4.19,-0.85,0.5997,-1.404,-0.8714,84,16.94,9.19,0.75,346.64,-70.15,78.39,2,1014.28,38.794,54.976765,-1.615323,322.58,NaN,,5.27,12.903226,219.6,Oct-21,15524,2016-02-03 15:28:58:205
-7.288,3.3434,2.2705,0.33,9.8,0.03,-2.97,-4.44,-0.93,-1.4711,-1.3976,-1.8674,96,1.56,-2.19,5.06,292.01,-80.35,93.84,2,1014.28,38.925,54.976753,-1.615348,322.58,NaN,,5.18,12.903226,224.5,Dec-20,16024,2016-02-03 15:28:58:705
-1.2119,7.4892,-3.7937,-4.21,8.84,-0.45,0.59,-5.8,-2.19,1.2666,0.9822,0.6242,11,14.38,9.56,0.75,8.57,-75.26,103.92,0,1014.28,39.921,54.976753,-1.615348,322.58,NaN,,5.18,12.903226,224.5,Dec-20,16525,2016-02-03 15:28:59:206
-0.3832,1.5376,1.3819,-0.75,9.65,-1.56,2.73,-2.85,8.95,-0.9694,0.5028,-0.8533,6,3.81,1.5,8.94,349.58,-79.83,154.32,0,1014.3,39.87,54.976746,-1.615374,316.13,NaN,,4.92,12.903226,227.3,Oct-20,17025,2016-02-03 15:28:59:706
-3.0057,4.6104,-4.3302,-2.17,9.52,-0.9,3.2,6.61,0.87,-0.3622,1.6085,-0.2248,9,7.44,9.5,18.38,307.4,-83.32,82.44,0,1014.3,39.924,54.976746,-1.615374,316.13,NaN,,4.92,12.903226,227.3,Oct-20,17525,2016-02-03 15:29:00:206
1.7579,13.1103,-0.8478,-1.56,8.45,-4.72,2.74,3.02,2.64,-0.6892,0.6136,0.6328,0,4.13,15.75,29.69,347.81,-65.2,158.61,0,1014.33,40.618,54.976734,-1.615396,316.13,NaN,,6.19,12.903226,213,Nov-22,18025,2016-02-03 15:29:00:706
4.4212,16.1544,-0.4886,-1.8,9.62,-0.64,4.05,6.22,0.87,0.5475,0.065,0.3111,0,10,11,9.38,306.6,-85.1,75.47,0,1014.3,41.022,54.976734,-1.615396,316.13,NaN,,6.19,12.903226,213,Nov-22,18525,2016-02-03 15:29:01:206
1.1544,14.1474,-0.9317,-0.82,8.71,-4.44,-2.05,4.04,7.45,-0.2727,-0.1119,0.2035,0,7.81,12.81,24.63,8.99,-62.36,172.3,0,1014.31,39.583,54.97672,-1.615415,319.35,NaN,,7.03,12.903226,197.2,Sep-19,19025,2016-02-03 15:29:01:706
0.0527,12.1308,5.3648,-1.06,9.75,-0.1,-7.3,2.85,1.08,0.6594,0.1023,-0.7585,0,12.19,10.25,8.19,355.43,-81.49,108.06,0,1014.3,38.228,54.97672,-1.615415,319.35,NaN,,7.03,12.903226,197.2,Sep-19,19525,2016-02-03 15:29:02:206
1.5232,13.8456,-3.9973,-1.27,8.77,-4.21,-2.52,1.4,5.08,0.5806,-0.8884,-0.2237,0,8.19,19.75,27.75,359.3,-63.37,163.21,0,1014.34,38.086,54.976704,-1.615428,319.35,NaN,,5.81,12.903226,197.2,Nov-22,20025,2016-02-03 15:29:02:706
-0.3257,11.3955,5.0128,-1.02,9.74,0.53,-6.32,5.94,2.07,0.3036,0.2961,-0.5593,0,7.81,9.19,4.25,23.94,-77.63,135.58,0,1014.3,36.776,54.976704,-1.615428,319.35,NaN,,5.81,12.903226,197.2,Nov-22,20525,2016-02-03 15:29:03:206
-0.3832,16.1161,3.3554,-0.84,8.6,-4.64,-4.66,4.69,6.84,1.8994,2.6951,-0.6573,4,7.44,9.5,21.06,338.04,-75.14,140.49,0,1014.29,35.642,54.97669,-1.61544,319.35,NaN,,5.62,12.903226,199.3,Oct-20,21025,2016-02-03 15:29:03:706
-7.0126,14.5761,0.8359,-1.46,9.69,-0.3,-3.9,2.1,-0.16,-0.2312,0.1427,-0.0181,0,6.69,5.13,4.25,31.19,-58.37,167.99,0,1014.31,38.737,54.97669,-1.61544,319.35,NaN,,5.62,12.903226,199.3,Oct-20,21525,2016-02-03 15:29:04:206
0.8071,9.3454,0.4311,-1.35,9.26,-2.93,-6.46,13.05,-8.06,3.6432,4.4603,-0.6466,0,4.5,8.81,22.63,333.7,-75.38,136.64,0,1014.3,38.167,54.976677,-1.615447,322.58,NaN,,4.96,12.903226,195.5,Oct-21,22025,2016-02-03 15:29:04:706
-1.8274,9.0532,-0.594,-1.1,9.63,-1.5,-1.66,-2.99,1.4,-0.2226,-0.1225,0.1577,0,5.25,2.94,9.75,2.52,-59.64,169.3,0,1014.33,36.948,54.976677,-1.615447,322.58,NaN,,4.96,12.903226,195.5,Oct-21,22524,2016-02-03 15:29:05:205
-0.7975,6.924,0.467,-0.59,8.81,-4.26,-0.8,-5.9,4.05,-1.7236,0.3121,-0.0202,4,6,5.88,20.69,7.9,-63.98,172.11,0,1014.3,37.598,54.976665,-1.615451,322.58,NaN,,5.55,12.903226,188.6,Nov-21,23025,2016-02-03 15:29:05:706
-1.9304,6.2055,-0.3425,-1.24,9.62,-1.42,-1.49,-3.93,1.74,-0.734,-1.0173,0.2152,0,4.13,2.56,11.31,1.91,-64.46,161.95,0,1014.31,37.139,54.976665,-1.615451,322.58,NaN,,5.55,12.903226,188.6,Nov-21,23525,2016-02-03 15:29:06:206
0.103,3.2357,-0.6035,-1.42,9.56,-1.65,-1.77,0.21,-1.26,-0.7766,0.5145,-0.3132,0,3.44,5.88,21.88,328.23,-77.17,139.28,0,1014.31,36.635,54.976643,-1.615454,322.58,NaN,,6.31,12.903226,187.8,Nov-22,24025,2016-02-03 15:29:06:706
-0.8143,12.7367,3.1039,-1.01,8.43,-4.91,-0.05,5.89,7.73,-1.0759,0.2269,-0.0629,0,5.63,7.69,24.19,0.46,-59.14,166.43,0,1014.33,39.079,54.976643,-1.615454,322.58,NaN,,6.31,12.903226,187.8,Nov-22,24525,2016-02-03 15:29:07:206
-2.9578,8.5766,-2.1483,-1.98,9.55,-1.05,6.11,4.52,1.61,2.6941,1.289,0.457,0,6.31,4.44,14,322.51,-76.79,117.94,0,1014.31,36.026,54.976624,-1.615458,319.35,NaN,,6.27,16.129032,192.4,Nov-22,25025,2016-02-03 15:29:07:706
-2.1819,10.1549,-6.1336,-1.25,8.33,-5.02,2.48,6.73,5.12,-1.7715,-0.5646,-0.5103,0,6,8.06,20.69,358.99,-60.56,162.99,0,1014.35,35.817,54.976624,-1.615458,319.35,NaN,,6.27,16.129032,192.4,Nov-22,25524,2016-02-03 15:29:08:205
5.2427,11.1177,-2.4956,-2.29,9.5,-0.79,4.05,4.54,3.8,-0.0234,0.5305,0.3899,0,7.44,7,6.94,357.55,-79.96,107.69,0,1014.34,35.407,54.97661,-1.615462,322.58,NaN,,6.55,16.129032,197.5,Nov-21,26024,2016-02-03 15:29:08:705
4.0212,10.2531,1.2478,-0.92,8.23,-5.25,3.81,3.35,5.81,-1.1473,-0.8618,0.2621,4,3.06,11.75,24.19,352.26,-62.28,164.23,0,1014.33,37.754,54.97661,-1.615462,322.58,NaN,,6.55,16.129032,197.5,Nov-21,26525,2016-02-03 15:29:09:206
-3.274,14.715,5.087,-1.86,9.61,-0.54,4.15,3.05,4.95,1.4189,0.4932,0.2045,0,7.81,5.5,3.06,1.41,-81.58,112.1,0,1014.34,36.646,54.97659,-1.615466,325.81,NaN,,5.26,16.129032,201,Dec-21,27025,2016-02-03 15:29:09:706
-5.4415,7.3934,-8.646,-0.88,9.07,-3.61,-1.72,6.97,-5.09,-0.1811,-0.032,0.2482,4,4.13,8.44,26.94,354.91,-67.72,166.3,0,1014.34,38.197,54.97659,-1.615466,325.81,NaN,,5.26,16.129032,201,Dec-21,27525,2016-02-03 15:29:10:206
-6.3588,15.9963,2.5387,-1.93,9.61,-0.45,-1.33,2.35,-0.15,-0.033,0.1534,-0.2589,0,5.25,0.75,0.69,41.66,-57.9,166.58,0,1014.33,37.745,54.976578,-1.615476,335.48,NaN,,5.55,16.129032,206.1,Nov-21,28025,2016-02-03 15:29:10:706
-0.4095,7.3527,-10.2291,-1.32,9.3,-2.82,-4.01,11.7,-4.42,3.4781,3.689,-0.2386,4,6,6.25,15.19,5.18,-67.32,163.72,0,1014.31,38.405,54.976578,-1.615476,335.48,NaN,,5.55,16.129032,206.1,Nov-21,28524,2016-02-03 15:29:11:205
-2.2657,8.4784,0.4718,-1.02,9.63,-1.52,0.39,-2.47,1.42,-0.1119,0.1129,0.1193,0,7.06,4.75,5.81,11.33,-68.82,169.26,0,1014.34,40.603,54.976563,-1.615488,335.48,NaN,,4.79,16.129032,216.6,Aug-20,29024,2016-02-03 15:29:11:705
0.4191,6.3396,-1.3484,-0.74,9.3,-3.01,1.07,-7.59,4.52,-1.9473,-0.3728,-0.0597,0,4.88,5.13,19.06,0.91,-71.57,166.19,0,1014.31,38.955,54.976563,-1.615488,335.48,NaN,,4.79,16.129032,216.6,Aug-20,29525,2016-02-03 15:29:12:206
0.6634,6.5216,-0.9293,-1.22,9.72,-0.4,2.29,-3.2,0.42,-1.2528,-0.5518,0.3419,0,4.5,1.5,8.13,11.12,-75.93,159.36,0,1014.34,37.861,54.976555,-1.615494,341.94,NaN,,3.43,16.129032,216.4,Jul-21,30025,2016-02-03 15:29:12:706
-1.3388,2.0885,0.3449,-1.12,9.67,-1.21,-1.44,-6.67,1.7,1.8184,3.0254,-0.0415,0,3.44,6.25,17.5,261.56,-79.84,68.63,0,1014.33,37.621,54.976555,-1.615494,341.94,NaN,,3.43,16.129032,216.4,Jul-21,30525,2016-02-03 15:29:13:206
1.346,5.3768,-0.1509,-0.52,9.06,-3.71,6.72,3.63,1.89,-1.1761,-0.5039,0.4868,0,3.44,9.19,23.75,359.2,-67.54,172.02,0,1014.37,37.896,54.976547,-1.615499,341.94,NaN,,3.72,16.129032,216.4,Jul-19,31025,2016-02-03 15:29:13:706
-1.9783,4.3302,-0.0287,-1.2,9.73,-0.35,2.38,0.36,-1.92,0.375,0.9374,0.2493,0,4.88,5.88,13.19,309.51,-82.68,106.26,0,1014.35,40.402,54.976547,-1.615499,341.94,NaN,,3.72,16.129032,216.4,Jul-19,31525,2016-02-03 15:29:14:206
-1.54,10.2195,-1.1903,-0.61,9.32,-2.99,3.49,5.16,3.06,-1.3209,-1.7225,0.4751,0,3.44,8.44,16.31,359.17,-71.87,168.47,0,1014.38,42.43,54.97654,-1.615503,341.94,NaN,,3.39,19.35484,216.4,Jul-19,32025,2016-02-03 15:29:14:706
0.1365,10.0064,3.4392,-0.8,9.73,0.97,-1.16,5.54,2.68,0.9779,-0.5433,-0.6338,0,5.63,2.56,1.5,294.1,-82.64,39.51,0,1014.37,45.846,54.97654,-1.615503,341.94,NaN,,3.39,19.35484,216.4,Jul-19,32524,2016-02-03 15:29:15:205
6.833,14.6839,-4.0093,-0.48,9.29,-3.12,-1.2,7.88,7.86,-0.066,-0.065,0.7862,0,6.31,7.31,23.38,5.72,-71.85,171.34,0,1014.37,40.348,54.976536,-1.615511,325.81,NaN,,5.03,16.129032,216.4,Jul-19,33025,2016-02-03 15:29:15:706
-4.3302,15.6898,2.4405,-0.85,9.67,1.4,-3.35,5.95,1.19,0.3675,-0.0277,-0.3302,0,4.13,2.25,1.88,277.95,-81.4,30.76,0,1014.37,38.72,54.976536,-1.615511,325.81,NaN,,5.03,16.129032,216.4,Jul-19,33525,2016-02-03 15:29:16:206
-1.6717,13.9199,4.0452,-0.24,9.03,-3.82,-1.33,4.97,7.86,0.9779,-0.4165,0.0234,0,4.5,9.19,24.94,344.85,-78.8,146.56,0,1014.37,36.717,54.976536,-1.615521,322.58,NaN,,3.31,19.35484,227.3,Jul-22,34025,2016-02-03 15:29:16:706
-1.8657,11.3763,-0.7353,-0.82,9.73,0.86,-0.84,-1.51,-0.85,0.0905,-0.3206,0.3047,0,3.75,2.56,-1.25,71.63,-82.09,150.2,0,1014.37,35.845,54.976536,-1.615521,322.58,NaN,,3.31,19.35484,227.3,Jul-22,34525,2016-02-03 15:29:17:206
-1.3508,17.3974,-7.6521,-0.52,9.29,-3.1,1.17,-3.01,3.54,-1.7343,-0.4272,-0.0778,4,4.5,5.13,16.31,7.51,-71.31,170.48,0,1014.35,38.817,54.976532,-1.615531,316.13,NaN,,3.42,19.35484,244.6,Aug-22,35025,2016-02-03 15:29:17:706
-0.182,10.7081,-0.4287,-0.49,9.79,0.37,-1.08,-2.79,-0.36,-0.5049,-0.9417,0.3494,0,6,4.75,2.25,18.21,-67.92,176.42,0,1014.37,36.15,54.976532,-1.615531,316.13,NaN,,3.42,19.35484,244.6,Aug-22,35525,2016-02-03 15:29:18:206
-0.4814,2.383,-0.3018,-0.54,9.77,-0.66,-2.51,-2.79,-0.34,0.6764,-1.2314,0.392,0,6,7.69,20.25,280.71,-84.49,52.77,0,1014.33,37.292,54.97653,-1.615546,316.13,NaN,,4.67,22.580645,228.3,Jul-21,36024,2016-02-03 15:29:18:705
1.0346,7.027,-0.5197,-0.37,9.72,-1.28,-1.01,-0.94,1.81,-1.991,-0.1609,0.0852,0,7.81,8.81,10.06,26.44,-71.89,172.27,0,1014.33,35.23,54.97653,-1.615546,316.13,NaN,,4.67,22.580645,228.3,Jul-21,36525,2016-02-03 15:29:19:206
-3.1997,6.8114,-0.2491,-0.76,9.78,0.06,-1.82,0.28,-2.42,2.7782,1.6831,0.6743,0,3.75,12.44,17.13,281.7,-85.54,85.49,0,1014.31,34.443,54.97653,-1.615564,309.68,NaN,,6.45,22.580645,235.7,Jul-22,37025,2016-02-03 15:29:19:706
-0.9125,8.6556,1.8298,-0.37,9.52,-2.33,-0.84,0.49,-0.3,-1.0237,-0.7787,-0.5891,0,4.13,9.19,9.69,2.7,-80.83,168.19,0,1014.31,35.572,54.97653,-1.615564,309.68,NaN,,6.45,22.580645,235.7,Jul-22,37524,2016-02-03 15:29:20:205
5.4391,9.422,-2.2896,-0.84,9.72,-0.95,2.43,-0.41,-0.52,1.4711,-0.1278,0.1097,0,7.06,6.63,5.75,276.43,-83.45,42.1,0,1014.3,34.722,54.976524,-1.615579,306.45,NaN,,4.22,29.032257,216.5,Jul-22,38025,2016-02-03 15:29:20:706
-0.3137,10.3417,4.0093,0.28,8.9,-4.11,4.55,3.08,0.55,-1.5532,-0.8234,0.5145,0,4.5,7.69,17.88,6.44,-76.79,172.05,0,1014.33,36.802,54.976524,-1.615579,306.45,NaN,,4.22,29.032257,216.5,Jul-22,38524,2016-02-03 15:29:21:205
5.0774,15.558,-0.7041,-0.17,9.79,0.55,0.23,2.34,4.43,0.9492,-0.881,-0.7713,0,3.75,4.06,-0.12,262.31,-85.76,-11.93,0,1014.34,35.3,54.97652,-1.615591,306.45,NaN,,3.45,25.806452,253.3,Aug-22,39024,2016-02-03 15:29:21:705
1.0945,12.4158,1.2119,0.28,9.34,-2.97,1.31,5.15,3.11,0.587,-3.0254,0.1321,0,6,6.25,16.69,23.5,-72.29,-174.61,0,1014.33,34.691,54.97652,-1.615591,306.45,NaN,,3.45,25.806452,253.3,Aug-22,39524,2016-02-03 15:29:22:205
0.9604,10.2387,2.4597,0.16,9.73,1.21,-1.52,4.06,2.88,0.3984,-0.3622,-0.3899,0,5.25,-0.31,0.69,243.64,-83.08,-15.21,0,1014.34,35.865,54.976517,-1.615601,309.68,NaN,,2.92,32.258064,230.8,Aug-22,40024,2016-02-03 15:29:22:705
-5.8079,23.4904,-13.4648,0.13,9.53,-2.31,0.57,4.5,-2.96,2.1412,5.3103,-0.3526,0,2.31,5.5,21.38,8.34,-76.35,-176.78,0,1014.37,37.026,54.976517,-1.615601,309.68,NaN,,2.92,32.258064,230.8,Aug-22,40524,2016-02-03 15:29:23:205
-3.5782,15.7089,1.2502,0.58,9.6,1.93,-4.75,3.97,-3.69,-0.0085,-0.2621,-0.9278,0,4.5,0.75,-0.12,266.54,-81.11,-5.3,0,1014.35,35.52,54.976513,-1.615608,306.45,NaN,,3.28,35.48387,216.4,Jun-20,41024,2016-02-03 15:29:23:705
1.9448,9.9178,-4.2224,0.38,9.53,-2.3,-1.24,-3.9,3.22,3.9575,5.0685,-0.2589,0,7.44,9.88,15.13,30.87,-76.25,-170.62,0,1014.33,36.332,54.976513,-1.615608,306.45,NaN,,3.28,35.48387,216.4,Jun-20,41525,2016-02-03 15:29:24:206
-0.9029,6.8977,0.3401,-0.3,9.66,1.65,-0.76,-3.85,-2.27,-0.1672,0.0032,0.3004,0,7.44,7,3,91.68,-88.17,-153.43,0,1014.34,35.352,54.97651,-1.615622,303.23,NaN,,3.26,38.709675,230.1,Oct-22,42024,2016-02-03 15:29:24:705
0.7736,2.3759,-0.8742,0.18,9.61,-1.94,-0.33,-5.93,-0.49,1.7428,-0.5358,0.7968,0,5.94,9.5,15.5,232.27,-85.18,24.39,0,1014.33,37.578,54.97651,-1.615622,303.23,NaN,,3.26,38.709675,230.1,Oct-22,42524,2016-02-03 15:29:25:205
0.2251,8.088,0.3401,0.42,9.56,-2.15,-1.96,1.18,-3.06,-1.2485,-0.751,-0.5028,0,8.19,8.06,3.44,21.79,-73.54,179.38,0,1014.35,36.743,54.976505,-1.615637,300,NaN,,3.29,29.032257,247.2,Dec-22,43024,2016-02-03 15:29:25:705
